Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1646.9254026465233
FDW14,OUT017,1371.8293311528223
NCN55,OUT010,573.4464312271975
FDQ58,OUT017,2470.3573380710404
FDY38,OUT027,5859.925050868833
FDH56,OUT046,1939.7904895478368
FDL48,OUT018,757.244719475571
FDC48,OUT027,2135.7013115926525
FDN33,OUT045,1517.3921163342777
FDA36,OUT017,3103.4938923825657
FDT44,OUT017,1919.513055836491
FDQ56,OUT045,1364.2346952872294
NCC54,OUT019,572.8374003543697
FDU11,OUT049,2025.3337491304285
DRL59,OUT013,877.5777408380651
FDM24,OUT049,2445.49053176243
FDI57,OUT045,3056.8838428294794
DRC12,OUT018,2950.0850867057593
NCM42,OUT027,2900.6238219767624
FDA46,OUT010,505.74771048729104
FDA31,OUT013,2843.4354504194825
NCJ31,OUT035,3861.807254708447
FDG52,OUT046,799.5667114644143
NCL19,OUT019,287.9244125661838
FDS10,OUT035,2977.1989669662953
FDX22,OUT010,565.125103684208
NCF19,OUT035,765.0303751807928
NCE06,OUT046,2538.720762564954
DRC27,OUT046,3941.6157914338073
FDE21,OUT035,1948.7561923411326
NCR42,OUT019,130.71204254069272
FDX51,OUT018,2987.582409036477
NCR06,OUT018,613.6309166914384
FDU31,OUT027,5859.925050868833
FDU59,OUT017,2549.515589231813
FDR03,OUT027,5859.925050868833
FDS49,OUT027,2049.0124917697813
FDD48,OUT010,268.49178635684103
NCF18,OUT017,3048.839624614056
NCD43,OUT027,2857.325767708093
NCD54,OUT018,2120.003144714626
FDY19,OUT010,269.5992522002873
NCY54,OUT017,2857.2331300627116
NCL19,OUT018,2434.5592303833137
FDP23,OUT010,571.0689078214627
FDC26,OUT013,1736.412820683528
FDR14,OUT010,130.71204254069272
NCS41,OUT035,3126.094851789554
FDF41,OUT035,3896.1981847022653
FDU34,OUT046,2047.6515985846947
DRH11,OUT046,969.175101147514
FDM03,OUT013,1645.9929965010358
FDS31,OUT017,3054.02580909019
FDJ20,OUT017,1991.5872360819633
FDV44,OUT027,5124.823737974634
FDG02,OUT049,3120.20868852407
FDA09,OUT013,2993.080748210458
FDT04,OUT013,705.9821763795334
FDL58,OUT019,570.9932478211321
FDE52,OUT045,1387.0378908501807
FDW12,OUT035,2460.8560725449033
FDL51,OUT017,3691.6538528384995
NCY42,OUT027,3021.5070307742694
FDR07,OUT017,1538.4882730261868
FDN40,OUT045,2465.5393501975805
FDB35,OUT027,2712.237507526243
FDA22,OUT017,2554.8330424406017
NCL06,OUT046,4181.77527371523
FDI35,OUT013,3049.613955939104
NCW42,OUT045,3778.7910165868975
NCX06,OUT049,2990.2706756481202
FDC37,OUT027,2878.1345533868093
FDZ14,OUT018,1947.7279639809526
DRG49,OUT049,3943.998118120624
NCG06,OUT045,4133.55116043706
DRC36,OUT045,2869.7901820571356
FDV21,OUT019,279.7192584665965
FDB53,OUT046,2508.497006278545
DRP47,OUT019,572.8374003543697
FDA14,OUT013,2471.3749291727563
DRC24,OUT035,2536.1419461142823
FDW21,OUT018,1619.7625418790608
NCH29,OUT046,1540.0908069427724
FDU58,OUT013,3110.8716462095554
FDY27,OUT017,2894.3539336729605
FDV56,OUT035,1659.3512341766284
FDT59,OUT046,3808.9798642451865
FDB23,OUT046,3755.444099996633
FDR49,OUT045,763.0346337247961
FDB03,OUT010,573.5577448422894
FDN39,OUT045,2656.2576477449957
FDX02,OUT027,5859.925050868833
FDQ16,OUT027,2878.1345533868093
FDU35,OUT018,1548.7403601933975
NCT29,OUT013,2003.1041763287496
FDZ27,OUT046,799.5247091630961
FDN57,OUT017,2031.9732555938326
FDA03,OUT018,2440.3035895039757
FDZ36,OUT045,3138.0801688069637
NCU05,OUT013,1404.9871472778002
FDT39,OUT018,2380.9018005670896
FDK60,OUT017,1539.8314565592418
FDZ25,OUT017,2796.6492605251224
FDG12,OUT046,2076.8548627958544
DRB01,OUT019,503.25369649628766
NCC43,OUT027,5859.925050868833
FDX13,OUT019,570.5695852007876
FDM22,OUT049,855.4914747836306
FDJ03,OUT027,1092.4577031348779
FDU14,OUT018,3808.9683957885786
FDB33,OUT010,379.1089281683798
FDP27,OUT046,3143.2581457270026
FDO38,OUT010,157.30808926988018
FDE28,OUT027,5859.925050868833
FDO27,OUT035,1516.8209699788972
DRL23,OUT027,2872.1313168981123
FDS28,OUT046,967.6931176126772
FDX24,OUT013,1463.4514612065384
FDZ02,OUT035,1538.5923665912903
FDL46,OUT045,1914.1846171738975
FDS60,OUT027,4728.240071929581
NCO06,OUT017,591.2959619341203
FDO16,OUT035,1362.018003337521
FDC60,OUT049,1370.748439903334
FDA48,OUT018,3426.2356070270225
FDZ36,OUT027,5122.22906006447
FDK27,OUT045,2039.040298448225
FDW23,OUT018,604.4701544128679
FDM14,OUT018,1697.2395634169086
FDM14,OUT013,1647.4912718898236
FDW60,OUT018,2811.7147899134366
FDE21,OUT013,1956.781752800648
NCM42,OUT035,1660.2658044453847
FDY59,OUT010,227.6342941925329
DRI49,OUT049,1312.9191205035722
FDT28,OUT019,364.05052556418445
FDQ22,OUT018,606.6491424294214
FDR60,OUT049,1268.226777433335
FDC50,OUT019,234.4375308868279
FDV24,OUT013,2407.583490622884
DRF48,OUT010,493.6807639740713
FDQ47,OUT046,632.66450320299
DRN36,OUT049,1538.4598206030275
NCY06,OUT035,2011.6946422094404
FDE52,OUT035,1385.697462889229
NCB54,OUT045,2009.812630088083
NCF31,OUT035,2483.093649746578
FDJ08,OUT027,5140.974773633829
NCC07,OUT017,1645.8528960363785
NCD19,OUT027,1267.2407649742363
FDL46,OUT049,2023.579915638712
FDM20,OUT045,3986.831307563579
NCI06,OUT010,448.7920133271405
DRM11,OUT035,4225.530780904533
NCH07,OUT018,2505.0850610790962
FDS23,OUT013,2018.5722430784695
FDO49,OUT018,755.7241691742605
FDS35,OUT049,1058.5787261406383
DRK39,OUT045,1343.4259843878588
DRI39,OUT049,886.7552210477317
FDV04,OUT017,2517.0874455306675
NCN14,OUT035,3058.178099439399
FDH08,OUT013,3754.3166167815416
FDS20,OUT046,3144.4663089809924
FDV40,OUT049,1144.0260366339835
FDZ48,OUT010,257.12160410955954
FDS24,OUT027,2588.7719802447937
FDK44,OUT049,2837.5794799592895
FDS48,OUT045,2530.4033960261145
FDK26,OUT010,493.6807639740713
FDD23,OUT045,3117.0775339692236
NCH54,OUT017,2606.5321882529915
NCP14,OUT010,241.13089229396599
FDM60,OUT010,130.71204254069272
FDV24,OUT017,2445.9681509141515
FDH08,OUT018,3551.631826481414
FDS12,OUT027,2981.7864495791773
FDR39,OUT027,4789.202703054669
FDP12,OUT027,1010.2496611050668
DRF60,OUT027,5859.925050868833
FDC09,OUT035,1644.1570210712844
FDF50,OUT018,3007.8217167548073
FDG28,OUT035,3981.6705600538007
NCE19,OUT017,865.8400465256908
NCM53,OUT010,252.27297268992584
NCN18,OUT049,1737.3969444172967
FDF32,OUT035,3124.6874011698064
FDF11,OUT013,3887.016934472957
DRI59,OUT049,3753.722108636693
NCG54,OUT035,2782.872861396925
FDM44,OUT046,1637.2400086749226
FDT57,OUT018,3624.6724913119083
FDV24,OUT046,2440.4085230218298
FDI50,OUT019,570.5695852007876
FDS09,OUT035,776.9604954295048
NCC31,OUT027,4135.812016063203
FDQ07,OUT019,572.8374003543697
FDC22,OUT017,3126.1225645703903
FDZ56,OUT046,2789.84136630939
FDZ40,OUT019,130.71204254069272
FDS46,OUT027,2933.924876658221
DRD24,OUT045,2066.7667240197497
FDV45,OUT017,3093.332901505075
FDL26,OUT045,2545.973093836871
FDA56,OUT018,1995.0019991313686
FDN27,OUT046,1968.5460071726266
FDM20,OUT049,3955.2837665756524
FDO16,OUT017,1343.2591820608284
FDL03,OUT035,2998.668923844999
FDE58,OUT046,1950.654414299273
FDI02,OUT027,2919.600066862776
NCC55,OUT019,130.71204254069272
FDR03,OUT018,3209.2834277556876
FDB14,OUT017,1450.998015303173
FDR45,OUT013,3897.5779055216326
NCN07,OUT017,2041.596746690897
FDM51,OUT019,247.59092953024503
FDT52,OUT027,5859.925050868833
FDL26,OUT046,2520.84620683621
NCZ42,OUT046,3929.9094550371547
DRI47,OUT019,363.3014025567856
FDW40,OUT013,2058.272033179254
FDN34,OUT046,2804.5807353525934
FDS01,OUT035,2941.2073891114874
NCG55,OUT045,1921.053988292332
FDC11,OUT035,1364.06697462932
FDX35,OUT018,3483.653615695757
NCB06,OUT046,2583.4126567475746
FDR09,OUT019,572.8374003543697
FDC53,OUT017,1539.836577646629
FDY45,OUT013,4106.9888885429145
FDA22,OUT010,384.4526831473309
FDE02,OUT035,1515.1951047265393
FDW21,OUT045,1632.4828567373104
FDV34,OUT046,1172.3438474365068
FDS59,OUT049,1659.641535819987
NCW17,OUT017,2058.1570400502947
NCK54,OUT046,1965.0834673315371
FDG17,OUT019,570.5695852007876
FDG35,OUT017,2853.8783011231862
FDD08,OUT010,130.71204254069272
NCO07,OUT017,3679.0539779859405
FDJ10,OUT010,280.71515592527896
FDW36,OUT017,1645.1038564072953
FDW21,OUT010,240.54370682024432
FDY19,OUT017,1926.8985377607526
DRE03,OUT013,836.722443673254
NCC55,OUT049,634.0110251655321
FDH52,OUT010,133.87497528192614
FDO09,OUT017,4067.898929480804
FDU43,OUT045,3959.31520064334
FDX09,OUT010,424.0726986886515
FDH40,OUT019,197.88729756441012
FDW58,OUT017,1643.3003078225747
FDC47,OUT017,3756.611940618262
NCR41,OUT035,1494.667644209685
DRG49,OUT035,3977.140190124308
FDC52,OUT027,4086.5350831895685
FDY13,OUT046,1177.7938030188138
FDY35,OUT013,722.1981596067271
FDI35,OUT017,3097.602306592028
NCU18,OUT049,2091.303985569623
FDY33,OUT018,2513.5593464785616
FDC15,OUT027,4215.680167901774
FDU01,OUT049,3045.3400237313367
NCU42,OUT046,2787.3757564713155
NCV29,OUT018,2814.169202564717
NCY30,OUT017,3043.598964907343
FDQ46,OUT049,1739.967762837009
FDG58,OUT027,4131.813179867718
FDK33,OUT017,3677.476604723351
NCD07,OUT045,1896.470127062637
NCX29,OUT027,4036.1840187472426
NCT42,OUT013,2404.831517863154
DRN59,OUT035,759.6724290927984
FDI44,OUT035,1275.345741136696
FDA45,OUT049,2845.9342734021966
FDP31,OUT045,1053.1781925585235
FDY01,OUT046,1931.4668470476436
FDT09,OUT018,2026.5576520453
DRH03,OUT027,2831.7586795516218
